Time,Meter Tilt (in degrees),Tide (in ft)
2019-05-22 21:33,,11.262
2019-05-23 00:00:00,-1.0901439651419043,
2019-05-23 00:10:00,-0.9408925954230442,
2019-05-23 00:20:00,-1.106689990476771,
2019-05-23 00:30:00,-1.0261864285139397,
2019-05-23 00:40:00,-1.110541776586934,
2019-05-23 00:50:00,5.39733114387802,
2019-05-23 01:00:00,5.016899115584773,
2019-05-23 01:10:00,8.034445658469043,
2019-05-23 01:20:00,7.417726780448627,
2019-05-23 01:30:00,7.479128689267147,
2019-05-23 01:40:00,8.051311078472123,
2019-05-23 01:50:00,7.569457220682272,
2019-05-23 02:00:00,7.4567220366864495,
2019-05-23 02:10:00,7.805566107269631,
2019-05-23 02:20:00,7.760625620831729,
2019-05-23 02:30:00,5.870967031184487,
2019-05-23 02:40:00,8.192965978444352,
2019-05-23 02:50:00,7.672239832285033,
2019-05-23 03:00:00,7.482880398785274,
2019-05-23 03:10:00,6.033228160755784,
2019-05-23 03:20,,6.842
2019-05-23 03:30:00,7.251152064494039,
2019-05-23 03:40:00,5.815860696440452,
2019-05-23 03:50:00,5.873496463790228,
2019-05-23 04:00:00,3.637070453475237,
2019-05-23 04:10:00,4.467349443863463,
2019-05-23 04:20:00,1.0118916005285186,
2019-05-23 04:30:00,-0.6091598071750189,
2019-05-23 04:40:00,-0.3570207929479997,
2019-05-23 04:50:00,-0.5610575662373498,
2019-05-23 05:00:00,0.409102553127957,
2019-05-23 05:10:00,-0.8607157140068741,
2019-05-23 05:20:00,-0.8804309808000382,
2019-05-23 05:30:00,-0.9447273307866352,
2019-05-23 05:40:00,-1.2512727564728858,
2019-05-23 05:50:00,-1.54887101097823,
2019-05-23 06:00:00,-1.0854671225202985,
2019-05-23 06:10:00,-0.728577597338804,
2019-05-23 06:20:00,-1.2175067985779182,
2019-05-23 06:30:00,-0.8182759693544723,
2019-05-23 06:40:00,-1.0452906795293653,
2019-05-23 06:50:00,-0.8367416665346035,
2019-05-23 07:00:00,-0.8802592352969727,
2019-05-23 07:10:00,-1.173092013278195,
2019-05-23 07:20:00,0.43160674838312485,
2019-05-23 07:30:00,-0.5663276306883889,
2019-05-23 07:40:00,-0.6872291358321505,
2019-05-23 07:47,,8.644
2019-05-23 07:50:00,-0.9452271506293742,
2019-05-23 08:00:00,-0.8385691773198087,
2019-05-23 08:10:00,-0.9486317695361365,
2019-05-23 08:20:00,-0.49153373114261373,
2019-05-23 08:30:00,-0.8379671868249463,
2019-05-23 08:40:00,0.48767748811024964,
2019-05-23 08:50:00,1.4092120231114202,
2019-05-23 09:00:00,-0.44004099408452363,
2019-05-23 09:10:00,1.2148782772480533,
2019-05-23 09:20:00,0.8753644506975508,
2019-05-23 09:30:00,-1.281657530769023,
2019-05-23 09:40:00,1.3982974148375615,
2019-05-23 09:50:00,5.426336473202435,
2019-05-23 10:00:00,4.181976270921628,
2019-05-23 10:10:00,5.642561147065892,
2019-05-23 10:20:00,6.894404469617976,
2019-05-23 10:30:00,6.59360129319175,
2019-05-23 10:40:00,5.386828149299434,
2019-05-23 10:50:00,6.950802297309635,
2019-05-23 11:00:00,6.928649017954588,
2019-05-23 11:10:00,8.508165846661875,
2019-05-23 11:20:00,7.13414145068365,
2019-05-23 11:30:00,7.236714896064087,
2019-05-23 11:40:00,6.914644097760594,
2019-05-23 11:50:00,9.15023945154087,
2019-05-23 12:00:00,6.6588212045472055,
2019-05-23 12:10:00,5.787355062431986,
2019-05-23 12:20:00,5.173122106249359,
2019-05-23 12:30:00,7.116029337454261,
2019-05-23 12:40:00,7.731796729179329,
2019-05-23 12:50:00,6.446675556098615,
2019-05-23 13:00:00,5.2822119926141875,
2019-05-23 13:10:00,6.1506036169575475,
2019-05-23 13:20:00,4.633923019747241,
2019-05-23 13:30:00,7.009547682982687,
2019-05-23 13:40:00,2.3750239443001155,
2019-05-23 13:50:00,-1.7766224942907543,
2019-05-23 14:00:00,-1.3831023295932316,
2019-05-23 14:10:00,-1.4909098242539671,
2019-05-23 14:20:00,-0.7532649529849424,
2019-05-23 14:30:00,-1.7567417872741458,
2019-05-23 14:39,,-0.860
2019-05-23 14:40:00,-2.4658298051777297,
2019-05-23 14:50:00,-4.124210272502373,
2019-05-23 15:00:00,-6.837211190749705,
2019-05-23 15:10:00,-5.297167770513116,
2019-05-23 15:20:00,-3.9242922090748684,
2019-05-23 15:30:00,-1.5412408069482926,
2019-05-23 15:40:00,-1.822610870270233,
2019-05-23 15:50:00,-1.555393026676056,
2019-05-23 16:00:00,-1.429185360570219,
2019-05-23 16:10:00,-0.8266158556322806,
2019-05-23 16:20:00,-0.7916130596766298,
2019-05-23 16:30:00,-0.5438405671645017,
2019-05-23 16:40:00,0.34983901626829794,
2019-05-23 16:50:00,-0.27507560069164594,
2019-05-23 17:00:00,0.23973889667901024,
2019-05-23 17:10:00,0.6532477997016379,
2019-05-23 17:20:00,-1.0487112914031276,
2019-05-23 17:30:00,0.8527159035457987,
2019-05-23 17:40:00,1.536361972676132,
2019-05-23 17:50:00,1.151957502291544,
2019-05-23 18:00:00,4.609350700037342,
2019-05-23 18:10:00,1.190162590037509,
2019-05-23 18:20:00,-1.0729397949668555,
2019-05-23 18:30:00,0.8017090418066951,
2019-05-23 18:40:00,-0.9197355697336074,
2019-05-23 18:50:00,-1.4503529930670966,
2019-05-23 19:00:00,-1.235900217028074,
2019-05-23 19:10:00,-1.2866020874393937,
2019-05-23 19:20:00,-1.2240048078153636,
2019-05-23 19:30:00,1.3206823863443726,
2019-05-23 19:40:00,2.1815097219318798,
2019-05-23 19:50:00,0.43193803864887276,
2019-05-23 20:00:00,-1.0121712582028914,
2019-05-23 20:10:00,-0.8085619720688968,
2019-05-23 20:20:00,-1.1024104892396054,
2019-05-23 20:30:00,-0.7456207146324492,
2019-05-23 20:40:00,3.0832758004385874,
2019-05-23 20:50:00,4.201425128892639,
2019-05-23 21:00:00,0.9180437226775602,
2019-05-23 21:10:00,2.5827611594269904,
2019-05-23 21:20:00,-1.1002111006171256,
2019-05-23 21:30:00,-0.6707219117154207,
2019-05-23 21:40:00,-1.4268678796571523,
2019-05-23 21:50:00,-1.6630714204830828,
2019-05-23 22:00:00,-1.0182864038078874,
2019-05-23 22:10:00,-1.416042241758276,
2019-05-23 22:20,,11.063
2019-05-23 22:30:00,-0.8030850381386143,
2019-05-23 22:40:00,-1.1554808296364447,
2019-05-23 22:50:00,-0.860658979081633,
2019-05-23 23:00:00,-1.8647803856111467,
2019-05-23 23:10:00,-1.0375111678154083,
2019-05-23 23:20:00,-0.9654548251437862,
2019-05-23 23:30:00,-1.1268649882682686,
2019-05-23 23:40:00,-0.7550562611865607,
2019-05-23 23:50:00,-0.6993682554766745,
2019-05-24 04:29,,6.703
