Time,Meter Tilt (in degrees)
2019-01-13 00:00:00,3.231591790477196
2019-01-13 00:10:00,4.223473849942019
2019-01-13 00:20:00,1.5671295129959475
2019-01-13 00:30:00,1.1956233818132886
2019-01-13 00:40:00,2.053307753488864
2019-01-13 00:50:00,3.859284480391828
2019-01-13 01:00:00,2.699041909467137
2019-01-13 01:10:00,3.028910293358475
2019-01-13 01:20:00,2.965998227478226
2019-01-13 01:30:00,4.369805614895115
2019-01-13 01:40:00,3.121040968158314
2019-01-13 01:50:00,1.429375332032891
2019-01-13 02:00:00,2.615558570148207
2019-01-13 02:10:00,1.0471233991861322
2019-01-13 02:20:00,-0.5386650071114044
2019-01-13 02:30:00,-0.27720387792522794
2019-01-13 02:40:00,-0.83246718213257
2019-01-13 02:50:00,-0.8008371623966203
2019-01-13 03:00:00,-0.9897327061878353
2019-01-13 03:10:00,-0.973832813397399
2019-01-13 03:20:00,-0.9696792937826668
2019-01-13 03:30:00,-0.9212112869329997
2019-01-13 03:40:00,-1.0008743898729293
2019-01-13 03:50:00,-1.1238197706539945
2019-01-13 04:00:00,-1.0405546964505858
2019-01-13 04:10:00,-1.5575222549303613
2019-01-13 04:20:00,-1.2402504670400256
2019-01-13 04:30:00,-0.6745803778730501
2019-01-13 04:40:00,-1.894978268795529
2019-01-13 04:50:00,-2.260115162495953
2019-01-13 05:00:00,-0.7399516401464753
2019-01-13 05:10:00,-0.3520091831796146
2019-01-13 05:20:00,-0.5169406325682139
2019-01-13 05:30:00,0.7033881461056963
2019-01-13 05:40:00,1.7535872770807361
2019-01-13 05:50:00,1.5034154897551275
2019-01-13 06:00:00,1.3747971308939246
2019-01-13 06:10:00,3.1221767915825374
2019-01-13 06:20:00,6.436324029410789
2019-01-13 06:30:00,7.194180087714644
2019-01-13 06:40:00,5.805424020952369
2019-01-13 06:50:00,7.417159712632975
2019-01-13 07:00:00,7.910953241821375
2019-01-13 07:10:00,6.362385173942399
2019-01-13 07:20:00,5.505586243055667
2019-01-13 07:30:00,4.626559342964031
2019-01-13 07:40:00,3.1211121345831985
2019-01-13 07:50:00,-2.3703667266239776
2019-01-13 08:00:00,-0.4896509103527805
2019-01-13 08:10:00,0.3749382058760969
2019-01-13 08:20:00,-1.0426472294271838
2019-01-13 08:30:00,-1.099355245329793
2019-01-13 08:40:00,-1.21819765481588
2019-01-13 08:50:00,-1.1883472512083062
2019-01-13 09:00:00,-0.9643010918000465
2019-01-13 09:10:00,-0.31760691283757453
2019-01-13 09:20:00,2.0355204020360156
2019-01-13 09:30:00,6.644034321910716
2019-01-13 09:40:00,10.794683504605514
2019-01-13 09:50:00,9.769306338776126
2019-01-13 10:00:00,9.37458991893227
2019-01-13 10:10:00,10.200975013854924
2019-01-13 10:20:00,9.569557602820863
2019-01-13 10:30:00,9.984307066999767
2019-01-13 10:40:00,10.87675646540477
2019-01-13 10:50:00,9.428096652681456
2019-01-13 11:00:00,8.834631847096137
2019-01-13 11:10:00,9.016686483221434
2019-01-13 11:20:00,10.402914491021471
2019-01-13 11:30:00,14.681622162818488
2019-01-13 11:40:00,14.265111331034703
2019-01-13 11:50:00,9.658122245105165
2019-01-13 12:00:00,7.269435420469252
2019-01-13 12:10:00,6.663268866984672
2019-01-13 12:20:00,6.815795430244362
2019-01-13 12:30:00,7.128644922273353
2019-01-13 12:40:00,7.452968437936732
2019-01-13 12:50:00,5.7989227983456875
2019-01-13 13:00:00,6.242393225800433
2019-01-13 13:10:00,6.483141787877944
2019-01-13 13:20:00,5.675412069779255
2019-01-13 13:30:00,7.653369093456665
2019-01-13 13:40:00,7.15287313492022
2019-01-13 13:50:00,5.2958331129645675
2019-01-13 14:00:00,7.268223463088323
2019-01-13 14:10:00,6.383861927339002
2019-01-13 14:20:00,7.2315075644313405
2019-01-13 14:30:00,6.80772109441349
2019-01-13 14:40:00,5.935574109343649
2019-01-13 14:50:00,5.43739927431032
2019-01-13 15:00:00,4.127379445206764
2019-01-13 15:10:00,3.578157592691335
2019-01-13 15:20:00,1.481789800284504
2019-01-13 15:30:00,1.1365717176532475
2019-01-13 15:40:00,-0.9857715013025532
2019-01-13 15:50:00,-1.4374506858502114
2019-01-13 16:00:00,-1.4042602868063523
2019-01-13 16:10:00,-1.7146783901111742
2019-01-13 16:20:00,-0.8912885414242284
2019-01-13 16:30:00,-0.484133371923305
2019-01-13 16:40:00,-0.4941366361927962
2019-01-13 16:50:00,-0.6871474226014989
2019-01-13 17:00:00,-0.7513237178492043
2019-01-13 17:10:00,-0.7171823185321189
2019-01-13 17:20:00,-2.060939678964288
2019-01-13 17:30:00,-1.6473308930582107
2019-01-13 17:40:00,-1.5211429006778714
2019-01-13 17:50:00,-1.137254037730937
2019-01-13 18:00:00,-0.7532202854330563
2019-01-13 18:10:00,-0.7544998200386648
2019-01-13 18:20:00,-0.7408043833424518
2019-01-13 18:30:00,-0.3416044446311664
2019-01-13 18:40:00,-0.6632738560839389
2019-01-13 18:50:00,-0.13030219727859532
2019-01-13 19:00:00,0.5402363829214746
2019-01-13 19:10:00,0.6671410548810566
2019-01-13 19:20:00,-0.7392597011239552
2019-01-13 19:30:00,-0.8231705745000067
2019-01-13 19:40:00,-0.5521253902689159
2019-01-13 19:50:00,-0.44800460535654957
2019-01-13 20:00:00,-0.6995518467239693
2019-01-13 20:10:00,-0.8487090965864434
2019-01-13 20:20:00,-1.0026705291366433
2019-01-13 20:30:00,-1.8865830934820953
2019-01-13 20:40:00,-2.3276913755887327
2019-01-13 20:50:00,-1.0536127350731854
2019-01-13 21:00:00,1.5884060200473877
2019-01-13 21:10:00,3.2703075785806033
